,Hotel Name,Address,Rating (5),Price (2)
387,The Melting Pot,"PI Chennai Mahabalipuram Resort,Mahabalipuram, South Chennai",4.3,1300
388,Kokommo,"KI Chennai Mahabalipuram Resort,Mahabalipuram, South Chennai",4.1,2500
389,Melange,"MM Chennai,Sriperumbudur, West Chennai",4.3,1600
390,Waters Edge Cafe,"CR Blu Resort Temple Bay Mamallapuram,Mahabalipuram, South Chennai",4.4,3200
391,The Waterfall Restaurant,RV West Chennai,4.1,1700
392,Pizza Hut - 1,"17 Nagar, West Chennai",4.1,800
393,Sandy's Chocolate Laboratory,LN Central Chennai,4.4,1200
394,Pizza Hut - 1,"17 Gee Emerald Complex,Nungambakkam, Central Chennai",4.3,800
395,Fabcafe by Fabindia,FA Central Chennai,4.4,1500
396,Earthen Oven,"OW Chennai,Gopalapuram, Central Chennai",4.4,2000
397,Welcom,"WC MarinaWelcomHotel Chennai,Gopalapuram, Central Chennai",4.3,1500
398,Cafe Coffee Day,DG South Chennai,4.4,900
399,Pizza Hut - 1,"17 Towers,Mylapore, Central Chennai",4.5,800
400,Namma Veedu Vasanta Bhavan,BM Central Chennai,4.5,700
401,Pizza Hut - 1,"17 Avenue Mall,Royapettah, Central Chennai",4.0,800
402,Pizza Hut - 1,"17 Market City,Velachery, South West Chennai",4.6,800
403,Pizza Hut - 1,"17 Nagar, North Chennai",4.0,800
404,Namma Veedu Vasanta Bhavan,BN South Chennai,4.0,700
405,Namma Veedu Vasanta Bhavan,BC South West Chennai,4.0,700
406,Namma Veedu Vasanta Bhavan,BM South West Chennai,4.0,700
407,Cafe Coffee Day,DS South Chennai,4.5,900
408,Topi Vappa Biriyani,BK South West Chennai,5.0,700
